step,tensor_n,tensor_name,tensor_node_id,tensor_kind,tensor_id,storage_id,offset,numel,itemsize,tensor_size_bytes,device,dtype,shape,producer_count,consumer_count
0,0,cache_5_6,t0,CONTEXT,5,6,0,77,8,616,cpu,,"[1,77]",3,4
0,1,cache_12_13,t1,CONTEXT,12,13,0,77,8,616,cpu,,"[1,77]",3,3
0,2,cache_19_20,t2,CONTEXT,19,20,0,5,8,40,cpu,,"[1,5]",3,3
0,3,cache_26_27,t3,CONTEXT,26,27,0,5,8,40,cpu,,"[1,5]",3,3
0,4,cache_35_36,t4,CONTEXT,35,36,0,77,8,616,cuda:0,,"[1,77]",3,4
0,5,cache_39_40,t5,CONTEXT,39,40,0,37945344,2,75890688,cpu,,"[49408,768]",2,9
0,6,param_39_44,t6,WEIGHT,39,44,0,37945344,2,75890688,cuda:0,,"[49408,768]",0,4
0,7,cache_43_44,t7,CONTEXT,43,44,0,37945344,2,75890688,cuda:0,,"[49408,768]",1,3
0,8,param_49_50,t8,WEIGHT,49,50,0,59136,2,118272,cpu,,"[77,768]",0,3
0,9,param_49_54,t9,WEIGHT,49,54,0,59136,2,118272,cuda:0,,"[77,768]",0,4
0,10,cache_49_2860,t10,CONTEXT,49,2860,0,59136,2,118272,cpu,,"[77,768]",2,6
0,11,cache_53_54,t11,CONTEXT,53,54,0,59136,2,118272,cuda:0,,"[77,768]",2,3
0,12,param_59_60,t12,WEIGHT,59,60,0,77,8,616,cpu,,"[1,77]",0,1
0,13,cache_63_64,t13,CONTEXT,63,64,0,77,8,616,cuda:0,,"[1,77]",2,3
0,14,param_67_68,t14,WEIGHT,67,68,0,589824,2,1179648,cpu,,"[768,768]",0,3
0,15,param_67_72,t15,WEIGHT,67,72,0,589824,2,1179648,cuda:0,,"[768,768]",0,3
0,16,cache_67_248,t16,CONTEXT,67,248,0,589824,2,1179648,cpu,,"[768,768]",2,6
0,17,cache_71_72,t17,CONTEXT,71,72,0,589824,2,1179648,cuda:0,,"[768,768]",2,3
0,18,param_77_78,t18,WEIGHT,77,78,0,768,2,1536,cpu,,[768],0,3
0,19,param_77_82,t19,WEIGHT,77,82,0,768,2,1536,cuda:0,,[768],0,4
0,20,cache_77_2880,t20,CONTEXT,77,2880,0,768,2,1536,cpu,,[768],2,6
0,21,cache_81_82,t21,CONTEXT,81,82,0,768,2,1536,cuda:0,,[768],2,3
0,22,param_87_88,t22,WEIGHT,87,88,0,589824,2,1179648,cpu,,"[768,768]",0,3
0,23,param_87_92,t23,WEIGHT,87,92,0,589824,2,1179648,cuda:0,,"[768,768]",0,3
0,24,cache_87_128,t24,CONTEXT,87,128,0,589824,2,1179648,cpu,,"[768,768]",2,6
0,25,cache_91_92,t25,CONTEXT,91,92,0,589824,2,1179648,cuda:0,,"[768,768]",2,3
0,26,param_97_98,t26,WEIGHT,97,98,0,768,2,1536,cpu,,[768],0,3
0,27,param_97_102,t27,WEIGHT,97,102,0,768,2,1536,cuda:0,,[768],0,4
0,28,cache_97_2894,t28,CONTEXT,97,2894,0,768,2,1536,cpu,,[768],2,6
0,29,cache_98_2867,t29,CONTEXT,98,2867,0,77,8,616,cpu,,"[1,77]",4,3
0,30,cache_101_102,t30,CONTEXT,101,102,0,768,2,1536,cuda:0,,[768],2,3
