step,tensor_n,tensor_name,tensor_node_id,tensor_kind,tensor_id,storage_id,offset,numel,itemsize,tensor_size_bytes,device,dtype,shape,producer_count,consumer_count
0,0,cache_5_6,t0,CONTEXT,5,6,0,77,8,616,cpu,,"[1,77]",3,4
0,1,cache_12_13,t1,CONTEXT,12,13,0,77,8,616,cpu,,"[1,77]",3,3
0,2,cache_19_20,t2,CONTEXT,19,20,0,5,8,40,cpu,,"[1,5]",3,3
0,3,cache_26_27,t3,CONTEXT,26,27,0,5,8,40,cpu,,"[1,5]",3,3
0,4,cache_35_36,t4,CONTEXT,35,36,0,77,8,616,cuda:0,,"[1,77]",3,4
0,5,param_39_40,t5,WEIGHT,39,40,0,37945344,2,75890688,cpu,,"[49408,768]",0,3
0,6,param_39_44,t6,WEIGHT,39,44,0,37945344,2,75890688,cuda:0,,"[49408,768]",0,4
0,7,cache_43_44,t7,CONTEXT,43,44,0,37945344,2,75890688,cuda:0,,"[49408,768]",2,3
0,8,param_49_50,t8,WEIGHT,49,50,0,59136,2,118272,cpu,,"[77,768]",0,3
0,9,param_49_54,t9,WEIGHT,49,54,0,59136,2,118272,cuda:0,,"[77,768]",0,4
0,10,cache_53_54,t10,CONTEXT,53,54,0,59136,2,118272,cuda:0,,"[77,768]",2,3
0,11,param_59_60,t11,WEIGHT,59,60,0,77,8,616,cpu,,"[1,77]",0,1
0,12,cache_63_64,t12,CONTEXT,63,64,0,77,8,616,cuda:0,,"[1,77]",2,3
0,13,param_67_68,t13,WEIGHT,67,68,0,589824,2,1179648,cpu,,"[768,768]",0,3
0,14,param_67_72,t14,WEIGHT,67,72,0,589824,2,1179648,cuda:0,,"[768,768]",0,3
0,15,cache_71_72,t15,CONTEXT,71,72,0,589824,2,1179648,cuda:0,,"[768,768]",2,3
0,16,param_77_78,t16,WEIGHT,77,78,0,768,2,1536,cpu,,[768],0,3
0,17,param_77_82,t17,WEIGHT,77,82,0,768,2,1536,cuda:0,,[768],0,4
0,18,cache_78_121,t18,CONTEXT,78,121,0,768,2,1536,cuda:0,,[768],2,3
0,19,cache_81_82,t19,CONTEXT,81,82,0,768,2,1536,cuda:0,,[768],2,3
0,20,param_87_88,t20,WEIGHT,87,88,0,589824,2,1179648,cpu,,"[768,768]",0,3
0,21,param_87_92,t21,WEIGHT,87,92,0,589824,2,1179648,cuda:0,,"[768,768]",0,3
0,22,cache_91_92,t22,CONTEXT,91,92,0,589824,2,1179648,cuda:0,,"[768,768]",2,3
0,23,param_97_98,t23,WEIGHT,97,98,0,768,2,1536,cpu,,[768],0,3
0,24,param_97_102,t24,WEIGHT,97,102,0,768,2,1536,cuda:0,,[768],0,4
0,25,cache_101_102,t25,CONTEXT,101,102,0,768,2,1536,cuda:0,,[768],2,3
0,26,param_107_108,t26,WEIGHT,107,108,0,589824,2,1179648,cpu,,"[768,768]",0,3
0,27,param_107_112,t27,WEIGHT,107,112,0,589824,2,1179648,cuda:0,,"[768,768]",0,3
0,28,cache_111_112,t28,CONTEXT,111,112,0,589824,2,1179648,cuda:0,,"[768,768]",2,3
0,29,param_117_118,t29,WEIGHT,117,118,0,768,2,1536,cpu,,[768],0,3
0,30,param_117_121,t30,WEIGHT,117,121,0,768,2,1536,cuda:0,,[768],0,4
0,31,param_126_127,t31,WEIGHT,126,127,0,589824,2,1179648,cpu,,"[768,768]",0,3
