step,tensor_n,tensor_name,tensor_node_id,tensor_kind,tensor_id,storage_id,offset,numel,itemsize,tensor_size_bytes,device,dtype,shape,producer_count,consumer_count
0,0,cache_5_6,t0,CONTEXT,5,6,0,77,8,616,cpu,,"[1,77]",3,4
0,1,cache_12_13,t1,CONTEXT,12,13,0,77,8,616,cpu,,"[1,77]",3,3
0,2,cache_19_20,t2,CONTEXT,19,20,0,5,8,40,cpu,,"[1,5]",3,3
0,3,cache_26_27,t3,CONTEXT,26,27,0,5,8,40,cpu,,"[1,5]",3,3
0,4,cache_35_36,t4,CONTEXT,35,36,0,77,8,616,cuda:0,,"[1,77]",2,2
0,5,cache_45_36,t5,CONTEXT,45,36,0,77,8,616,cuda:0,,"[1,77]",3,4
0,6,param_58_59,t6,WEIGHT,58,59,0,77,8,616,cuda:0,,"[1,77]",0,1
0,7,cache_60_59,t7,CONTEXT,60,59,0,77,8,616,cuda:0,,"[1,77]",2,2
0,8,cache_66_67,t8,CONTEXT,66,67,0,37945344,2,75890688,cpu,,"[49408,768]",1,2
0,9,cache_71_72,t9,CONTEXT,71,72,0,37945344,2,75890688,cuda:0,,"[49408,768]",1,2
0,10,cache_76_72,t10,CONTEXT,76,72,0,37945344,2,75890688,cuda:0,,"[49408,768]",1,3
0,11,param_86_87,t11,WEIGHT,86,87,0,59136,2,118272,cuda:0,,"[1,77,768]",0,2
0,12,cache_97_98,t12,CONTEXT,97,98,0,37945344,2,75890688,meta,,"[49408,768]",2,2
0,13,cache_102_98,t13,CONTEXT,102,98,0,37945344,2,75890688,meta,,"[49408,768]",1,1
0,14,cache_111_112,t14,CONTEXT,111,112,0,59136,2,118272,cpu,,"[77,768]",1,2
0,15,cache_116_117,t15,CONTEXT,116,117,0,59136,2,118272,cuda:0,,"[77,768]",2,2
0,16,cache_121_117,t16,CONTEXT,121,117,0,59136,2,118272,cuda:0,,"[77,768]",1,3
0,17,param_131_132,t17,WEIGHT,131,132,0,59136,2,118272,cuda:0,,"[1,77,768]",0,2
0,18,cache_142_98,t18,CONTEXT,142,98,0,59136,2,118272,meta,,"[77,768]",2,2
0,19,cache_146_98,t19,CONTEXT,146,98,0,59136,2,118272,meta,,"[77,768]",1,1
0,20,cache_155_117,t20,CONTEXT,155,117,0,59136,2,118272,cuda:0,,"[1,77,768]",2,5
0,21,param_171_87,t21,WEIGHT,171,87,0,5929,2,11858,cuda:0,,"[77,77]",0,1
0,22,cache_179_180,t22,CONTEXT,179,180,0,768,2,1536,cpu,,[768],1,2
0,23,cache_184_185,t23,CONTEXT,184,185,0,768,2,1536,cuda:0,,[768],2,2
0,24,cache_189_185,t24,CONTEXT,189,185,0,768,2,1536,cuda:0,,[768],1,3
0,25,cache_192_193,t25,CONTEXT,192,193,0,768,2,1536,cpu,,[768],1,2
0,26,cache_197_198,t26,CONTEXT,197,198,0,768,2,1536,cuda:0,,[768],2,2
0,27,cache_202_198,t27,CONTEXT,202,198,0,768,2,1536,cuda:0,,[768],1,3
0,28,cache_212_132,t28,CONTEXT,212,132,0,59136,2,118272,cuda:0,,"[1,77,768]",3,4
0,29,cache_218_98,t29,CONTEXT,218,98,0,768,2,1536,meta,,[768],2,2
0,30,cache_222_98,t30,CONTEXT,222,98,0,768,2,1536,meta,,[768],1,1
