step,tensor_n,tensor_name,tensor_node_id,tensor_kind,tensor_id,storage_id,offset,numel,itemsize,tensor_size_bytes,device,dtype,shape,producer_count,consumer_count
0,0,cache_5_6,t0,CONTEXT,5,6,0,77,8,616,cpu,,"[1,77]",3,4
0,1,cache_12_13,t1,CONTEXT,12,13,0,77,8,616,cpu,,"[1,77]",3,3
0,2,cache_19_20,t2,CONTEXT,19,20,0,12,8,96,cpu,,"[1,12]",3,3
0,3,cache_26_27,t3,CONTEXT,26,27,0,12,8,96,cpu,,"[1,12]",3,3
0,4,cache_35_36,t4,CONTEXT,35,36,0,77,8,616,cuda:0,,"[1,77]",2,3
0,5,param_47_48,t5,WEIGHT,47,48,0,37945344,2,75890688,cuda:0,,"[49408,768]",0,1
0,6,param_49_50,t6,WEIGHT,49,50,0,77,8,616,cuda:0,,"[1,77]",0,1
0,7,param_51_52,t7,WEIGHT,51,52,0,59136,2,118272,cuda:0,,"[77,768]",0,1
0,8,param_53_54,t8,WEIGHT,53,54,0,768,2,1536,cuda:0,,[768],0,1
0,9,param_55_56,t9,WEIGHT,55,56,0,768,2,1536,cuda:0,,[768],0,1
0,10,param_57_58,t10,WEIGHT,57,58,0,59136,2,118272,cuda:0,,"[1,77,768]",0,3
0,11,param_59_60,t11,WEIGHT,59,60,0,59136,2,118272,cuda:0,,"[1,77,768]",0,1
0,12,param_63_64,t12,WEIGHT,63,64,0,768,2,1536,cuda:0,,[768],0,1
0,13,param_65_60,t13,WEIGHT,65,60,0,59136,2,118272,cuda:0,,"[77,768]",0,1
0,14,param_66_67,t14,WEIGHT,66,67,0,589824,2,1179648,cuda:0,,"[768,768]",0,1
0,15,cache_68_69,t15,CONTEXT,68,69,0,59136,2,118272,cuda:0,,"[77,768]",2,2
0,16,param_72_73,t16,WEIGHT,72,73,0,768,2,1536,cuda:0,,[768],0,1
0,17,param_74_60,t17,WEIGHT,74,60,0,59136,2,118272,cuda:0,,"[77,768]",0,1
0,18,param_75_76,t18,WEIGHT,75,76,0,589824,2,1179648,cuda:0,,"[768,768]",0,1
0,19,cache_77_78,t19,CONTEXT,77,78,0,59136,2,118272,cuda:0,,"[77,768]",1,1
0,20,param_81_82,t20,WEIGHT,81,82,0,768,2,1536,cuda:0,,[768],0,1
0,21,param_83_60,t21,WEIGHT,83,60,0,59136,2,118272,cuda:0,,"[77,768]",0,1
0,22,param_84_85,t22,WEIGHT,84,85,0,589824,2,1179648,cuda:0,,"[768,768]",0,1
0,23,cache_86_87,t23,CONTEXT,86,87,0,59136,2,118272,cuda:0,,"[77,768]",2,3
0,24,param_90_91,t24,WEIGHT,90,91,0,5929,2,11858,cuda:0,,"[1,1,77,77]",0,8
0,25,param_94_69,t25,WEIGHT,94,69,0,59136,2,118272,cuda:0,,"[1,12,77,64]",0,1
0,26,param_95_78,t26,WEIGHT,95,78,0,59136,2,118272,cuda:0,,"[1,12,77,64]",0,1
0,27,param_96_87,t27,WEIGHT,96,87,0,59136,2,118272,cuda:0,,"[1,12,77,64]",0,1
0,28,param_97_91,t28,WEIGHT,97,91,0,71148,2,142296,cuda:0,,"[1,12,77,77]",0,1
0,29,cache_100_69,t29,CONTEXT,100,69,0,59136,2,118272,cuda:0,,"[1,77,12,64]",1,1
