event_index,id,name,overload_name,trace_name,start_us,end_us,duration_us,self_cpu_time_total_us,cpu_time_total_us,self_device_time_total_us,device_time_total_us,thread,fwd_thread,device_type,device_index,device_resource_id,node_id,sequence_nr,scope,depth,cpu_parent_id,cpu_children,kernel_count,kernel_names,kernel_durations_us,is_async,is_remote,is_legacy,is_user_annotation,flops,cpu_memory_usage,self_cpu_memory_usage,device_memory_usage,self_device_memory_usage,input_shapes,concrete_inputs,kwinputs,stack,metadata_json
1,2,aten::empty,,aten::empty,8166.333,8188.404,22.071000000000822,22.071000000000822,22.071000000000822,0,0,1,0,CPU,2155947,2155947,-1,-1,0,1,1,0,0,[],[],False,False,False,False,0,616,616,0,0,"[[],[],[],[],[],[]]","[[1,77],4,0,null,false,null]",{},[],
2,3,aten::to,,aten::to,8201.939,8210.545,8.605999999999767,8.605999999999767,8.605999999999767,0,0,1,0,CPU,2155947,2155947,-1,-1,0,1,1,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,77],[],[],[],[],[]]","[null,null,4,false,false,null]",{},[],
3,4,aten::lift_fresh,,aten::lift_fresh,8219.131,8224.261,5.130000000001019,5.130000000001019,5.130000000001019,0,0,1,0,CPU,2155947,2155947,-1,-1,0,1,1,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,77]]",[null],{},[],
5,6,detach_,,detach_,8229.931,8234.871,4.93999999999869,4.93999999999869,4.93999999999869,0,0,1,0,CPU,2155947,2155947,-1,-1,0,2,5,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,77]]",[null],{},[],
6,7,aten::empty,,aten::empty,8271.87,8279.294,7.423999999999069,7.423999999999069,7.423999999999069,0,0,1,0,CPU,2155947,2155947,-1,-1,0,1,1,0,0,[],[],False,False,False,False,0,616,616,0,0,"[[],[],[],[],[],[]]","[[1,77],4,0,null,false,null]",{},[],
7,8,aten::to,,aten::to,8285.345,8290.374,5.029000000000451,5.029000000000451,5.029000000000451,0,0,1,0,CPU,2155947,2155947,-1,-1,0,1,1,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,77],[],[],[],[],[]]","[null,null,4,false,false,null]",{},[],
8,9,aten::lift_fresh,,aten::lift_fresh,8292.368,8320.21,27.841999999998734,27.841999999998734,27.841999999998734,0,0,1,0,CPU,2155947,2155947,-1,-1,0,1,1,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,77]]",[null],{},[],
10,11,detach_,,detach_,8324.378,8326.392,2.013999999999214,2.013999999999214,2.013999999999214,0,0,1,0,CPU,2155947,2155947,-1,-1,0,2,10,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,77]]",[null],{},[],
11,12,aten::empty,,aten::empty,8527.387,8537.005,9.617999999998574,9.617999999998574,9.617999999998574,0,0,1,0,CPU,2155947,2155947,-1,-1,0,1,1,0,0,[],[],False,False,False,False,0,40,40,0,0,"[[],[],[],[],[],[]]","[[1,5],4,0,null,false,null]",{},[],
12,13,aten::to,,aten::to,8541.864,8548.427,6.563000000000102,6.563000000000102,6.563000000000102,0,0,1,0,CPU,2155947,2155947,-1,-1,0,1,1,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,5],[],[],[],[],[]]","[null,null,4,false,false,null]",{},[],
13,14,aten::lift_fresh,,aten::lift_fresh,8551.051,8554.608,3.5570000000006985,3.5570000000006985,3.5570000000006985,0,0,1,0,CPU,2155947,2155947,-1,-1,0,1,1,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,5]]",[null],{},[],
15,16,detach_,,detach_,8558.786,8560.8,2.013999999999214,2.013999999999214,2.013999999999214,0,0,1,0,CPU,2155947,2155947,-1,-1,0,2,15,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,5]]",[null],{},[],
16,17,aten::empty,,aten::empty,8570.989,8576.559,5.569999999999709,5.569999999999709,5.569999999999709,0,0,1,0,CPU,2155947,2155947,-1,-1,0,1,1,0,0,[],[],False,False,False,False,0,40,40,0,0,"[[],[],[],[],[],[]]","[[1,5],4,0,null,false,null]",{},[],
17,18,aten::to,,aten::to,8579.595,8597.208,17.613000000001193,17.613000000001193,17.613000000001193,0,0,1,0,CPU,2155947,2155947,-1,-1,0,1,1,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,5],[],[],[],[],[]]","[null,null,4,false,false,null]",{},[],
18,19,aten::lift_fresh,,aten::lift_fresh,8599.282,8602.788,3.5060000000012224,3.5060000000012224,3.5060000000012224,0,0,1,0,CPU,2155947,2155947,-1,-1,0,1,1,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,5]]",[null],{},[],
20,21,detach_,,detach_,8606.365,8607.998,1.6329999999998108,1.6329999999998108,1.6329999999998108,0,0,1,0,CPU,2155947,2155947,-1,-1,0,2,20,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,5]]",[null],{},[],
23,24,aten::empty_strided,,aten::empty_strided,8647.812,8745.966,98.15400000000045,98.15400000000045,98.15400000000045,0,0,1,0,CPU,2155947,2155947,-1,-1,0,3,23,0,0,[],[],False,False,False,False,0,0,0,1024,1024,"[[],[],[],[],[],[]]","[[1,77],[77,1],4,0,null,false]",{},[],
25,12,cudaStreamIsCapturing,,cudaStreamIsCapturing,8754.862,8756.235,1.3730000000014115,1.3730000000014115,1.3730000000014115,0,0,1,0,CPU,2155947,2155947,-1,-1,0,4,25,0,0,[],[],False,False,False,False,0,0,0,0,0,[],[],{},[],
26,14,cudaMemcpyAsync,,cudaMemcpyAsync,8757.076,8767.185,10.109000000000378,10.109000000000378,10.109000000000378,0,0,1,0,CPU,2155947,2155947,-1,-1,0,4,25,0,0,[],[],False,False,False,False,0,0,0,0,0,[],[],{},[],
27,15,cudaStreamSynchronize,,cudaStreamSynchronize,8767.616,8840.072,72.45600000000013,72.45600000000013,72.45600000000013,0,0,1,0,CPU,2155947,2155947,-1,-1,0,4,25,0,0,[],[],False,False,False,False,0,0,0,0,0,[],[],{},[],
30,26,aten::view,,aten::view,8905.243,8914.35,9.106999999999971,9.106999999999971,9.106999999999971,0,0,1,0,CPU,2155947,2155947,-1,-1,0,1,1,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,77],[]]","[null,[-1,77]]",{},[],
31,27,aten::alias,,aten::alias,8938.385,8959.635,21.25,21.25,21.25,0,0,1,0,CPU,2155947,2155947,-1,-1,0,1,1,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,77]]",[null],{},[],
34,30,aten::view,,aten::view,9006.643,9012.634,5.9909999999999854,5.9909999999999854,5.9909999999999854,0,0,1,0,CPU,2155947,2155947,-1,-1,0,3,29,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,77],[]]","[null,[-1]]",{},[],
36,32,aten::empty,,aten::empty,9025.949,9034.264,8.31499999999869,8.31499999999869,8.31499999999869,0,0,1,0,CPU,2155947,2155947,-1,-1,0,3,31,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[],[],[],[],[],[]]","[[0],5,0,null,null,null]",{},[],
37,33,aten::resize_,,aten::resize_,9039.955,9049.132,9.17699999999968,9.17699999999968,9.17699999999968,0,0,1,0,CPU,2155947,2155947,-1,-1,0,3,31,0,0,[],[],False,False,False,False,0,0,0,118272,118272,"[[0],[],[]]","[null,[77,768],null]",{},[],
38,34,aten::view,,aten::view,9053.721,9057.718,3.997000000001208,3.997000000001208,3.997000000001208,0,0,1,0,CPU,2155947,2155947,-1,-1,0,3,31,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[77],[]]","[null,[77,1]]",{},[],
40,36,aten::as_strided,,aten::as_strided,9067.346,9073.568,6.221999999999753,6.221999999999753,6.221999999999753,0,0,1,0,CPU,2155947,2155947,-1,-1,0,4,35,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[77,1],[],[],[]]","[null,[77,768],[1,0],null]",{},[],
42,38,aten::as_strided,,aten::as_strided,9090.8,9106.289,15.489000000001397,15.489000000001397,15.489000000001397,0,0,1,0,CPU,2155947,2155947,-1,-1,0,4,37,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[77,768],[],[],[]]","[null,[77,768],[768,1],null]",{},[],
43,39,aten::as_strided,,aten::as_strided,9109.786,9114.074,4.288000000000466,4.288000000000466,4.288000000000466,0,0,1,0,CPU,2155947,2155947,-1,-1,0,4,37,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[49408,768],[],[],[]]","[null,[77,768],[0,1],null]",{},[],
